Question_ID,Text,technical_skill,problem_solving_ability,communication_skill,leadership_and_collaboration,frontend_skill,backend_skill,infrastructure_skill,security_awareness
1,APIの設計において、RESTful原則を適用する主な利点は何ですか？,4,3,2,1,2,5,3,2
2,チームメンバーとの技術的な意見の相違をどのように解決しますか？,2,3,5,5,1,1,1,1
3,パフォーマンスの遅いWebアプリケーションをどのように診断し最適化しますか？,5,5,2,2,4,4,3,2
4,マイクロサービスアーキテクチャの主な課題と、それらをどのように対処するかを説明してください。,4,4,3,3,2,5,4,3
5,セキュアなWebアプリケーションを構築するための主要な考慮事項は何ですか？,4,3,2,2,3,4,3,5
6,チーム内で新しい技術の採用を提案する場合、どのようなアプローチを取りますか？,3,4,5,5,2,2,2,2
7,複雑なユーザーインターフェースコンポーネントを設計する際のあなたのプロセスを説明してください。,3,4,3,2,5,2,1,2
8,データベースパフォーマンスを最適化するための方法をいくつか挙げてください。,4,4,2,1,1,5,3,3
9,プロジェクトの締め切りに間に合わないリスクがある場合、どのように対処しますか？,2,5,4,5,2,2,2,1
10,CSSアーキテクチャを設計する際に考慮すべき主な要素は何ですか？,3,3,2,2,5,1,1,2
11,クラウドインフラストラクチャを設計する際の主な考慮事項は何ですか？,4,3,2,3,1,3,5,4
12,ソフトウェア開発における継続的インテグレーションと継続的デプロイメントの利点を説明してください。,3,3,3,4,2,4,5,3
13,SQLインジェクション攻撃を防ぐためにどのような対策を講じますか？,4,3,2,2,2,4,3,5
14,チームメンバーのパフォーマンスが低い場合、どのようにフィードバックを提供しますか？,1,3,5,5,1,1,1,1
15,Reactコンポーネントのパフォーマンスを最適化するための方法をいくつか挙げてください。,4,4,2,2,5,3,1,2
16,分散システムにおけるデータ一貫性の課題をどのように対処しますか？,5,5,3,3,2,5,4,3
17,チーム内で知識共有を促進するためにどのような方法を使用しますか？,2,3,5,5,2,2,2,2
18,Dockerを使用する主な利点と、開発ワークフローにどのように統合するかを説明してください。,4,3,3,3,2,4,5,3
19,フロントエンドのアクセシビリティを確保するためにどのような方法を使用しますか？,3,3,4,3,5,2,1,3
20,OAuth 2.0の仕組みと、それをAPIセキュリティにどのように適用するかを説明してください。,4,3,3,2,3,4,3,5